key,lesion_type,modality,region,relationship,score,source,target
0,,,WT,has_region,,lesion3,region4
0,,,TC,has_region,,lesion3,region5
0,,,ET,has_region,,lesion3,region6
0,,,WT,has_region,,lesion9,region10
0,,,TC,has_region,,lesion9,region11
0,,,ET,has_region,,lesion9,region12
0,,,WT,has_region,,lesion15,region16
0,,,TC,has_region,,lesion15,region17
0,,,ET,has_region,,lesion15,region18
0,,,WT,has_region,,lesion21,region22
0,,,TC,has_region,,lesion21,region23
0,,,ET,has_region,,lesion21,region24
0,,,WT,has_region,,lesion27,region28
0,,,TC,has_region,,lesion27,region29
0,,,ET,has_region,,lesion27,region30
0,,,WT,has_region,,lesion33,region34
0,,,TC,has_region,,lesion33,region35
0,,,ET,has_region,,lesion33,region36
0,,,WT,has_region,,lesion39,region40
0,,,TC,has_region,,lesion39,region41
0,,,ET,has_region,,lesion39,region42
0,,,WT,has_region,,lesion45,region46
0,,,TC,has_region,,lesion45,region47
0,,,ET,has_region,,lesion45,region48
0,,,WT,has_region,,lesion51,region52
0,,,TC,has_region,,lesion51,region53
0,,,ET,has_region,,lesion51,region54
0,,,WT,has_region,,lesion57,region58
0,,,TC,has_region,,lesion57,region59
0,,,ET,has_region,,lesion57,region60
0,,,WT,has_region,,lesion63,region64
0,,,TC,has_region,,lesion63,region65
0,,,ET,has_region,,lesion63,region66
0,,,WT,has_region,,lesion69,region70
0,,,TC,has_region,,lesion69,region71
0,,,ET,has_region,,lesion69,region72
0,,,WT,has_region,,lesion75,region76
0,,,TC,has_region,,lesion75,region77
0,,,ET,has_region,,lesion75,region78
0,,,WT,has_region,,lesion81,region82
0,,,TC,has_region,,lesion81,region83
0,,,ET,has_region,,lesion81,region84
0,,,WT,has_region,,lesion87,region88
0,,,TC,has_region,,lesion87,region89
0,,,ET,has_region,,lesion87,region90
0,,,WT,has_region,,lesion93,region94
0,,,TC,has_region,,lesion93,region95
0,,,ET,has_region,,lesion93,region96
0,,,WT,has_region,,lesion99,region100
0,,,TC,has_region,,lesion99,region101
0,,,ET,has_region,,lesion99,region102
0,,,WT,has_region,,lesion105,region106
0,,,TC,has_region,,lesion105,region107
0,,,ET,has_region,,lesion105,region108
0,,,WT,has_region,,lesion111,region112
0,,,TC,has_region,,lesion111,region113
0,,,ET,has_region,,lesion111,region114
0,,,WT,has_region,,lesion117,region118
0,,,TC,has_region,,lesion117,region119
0,,,ET,has_region,,lesion117,region120
0,,,WT,has_region,,lesion123,region124
0,,,TC,has_region,,lesion123,region125
0,,,ET,has_region,,lesion123,region126
0,,,WT,has_region,,lesion129,region130
0,,,TC,has_region,,lesion129,region131
0,,,ET,has_region,,lesion129,region132
0,,,WT,has_region,,lesion135,region136
0,,,TC,has_region,,lesion135,region137
0,,,ET,has_region,,lesion135,region138
0,,,WT,has_region,,lesion141,region142
0,,,TC,has_region,,lesion141,region143
0,,,ET,has_region,,lesion141,region144
0,,,WT,has_region,,lesion147,region148
0,,,TC,has_region,,lesion147,region149
0,,,ET,has_region,,lesion147,region150
0,,,WT,has_region,,lesion153,region154
0,,,TC,has_region,,lesion153,region155
0,,,ET,has_region,,lesion153,region156
0,,,WT,has_region,,lesion159,region160
0,,,TC,has_region,,lesion159,region161
0,,,ET,has_region,,lesion159,region162
0,,,WT,has_region,,lesion165,region166
0,,,TC,has_region,,lesion165,region167
0,,,ET,has_region,,lesion165,region168
0,,,WT,has_region,,lesion171,region172
0,,,TC,has_region,,lesion171,region173
0,,,ET,has_region,,lesion171,region174
0,,,WT,has_region,,lesion177,region178
0,,,TC,has_region,,lesion177,region179
0,,,ET,has_region,,lesion177,region180
0,,,WT,has_region,,lesion183,region184
0,,,TC,has_region,,lesion183,region185
0,,,ET,has_region,,lesion183,region186
0,,,WT,has_region,,lesion189,region190
0,,,TC,has_region,,lesion189,region191
0,,,ET,has_region,,lesion189,region192
0,,,WT,has_region,,lesion195,region196
0,,,TC,has_region,,lesion195,region197
0,,,ET,has_region,,lesion195,region198
0,,,WT,has_region,,lesion201,region202
0,,,TC,has_region,,lesion201,region203
0,,,ET,has_region,,lesion201,region204
0,,,WT,has_region,,lesion207,region208
0,,,TC,has_region,,lesion207,region209
0,,,ET,has_region,,lesion207,region210
0,,,WT,has_region,,lesion213,region214
0,,,TC,has_region,,lesion213,region215
0,,,ET,has_region,,lesion213,region216
