bbox,centroid_zyx,cube_size,edema_vox,embedding,embedding_type,enhancing_vox,et_pct,et_vox,id,lesion_type,modality,ncr_net_vox,patient_id,pct,region,shape_4ch,source_file,split,tc_pct,tc_vox,tumor_volume_voxels,type,voxels,wt_vox
,,"[64, 64, 64]",,,,,,,mri2,,MULTI_4CH,,,,,"[4, 155, 240, 240]",data/processed/train/BraTS20_Training_001.pt,,,,,MRIVolume,,
,,"[64, 64, 64]",,,,,,,mri8,,MULTI_4CH,,,,,"[4, 155, 240, 240]",data/processed/train/BraTS20_Training_002.pt,,,,,MRIVolume,,
,,"[64, 64, 64]",,,,,,,mri14,,MULTI_4CH,,,,,"[4, 155, 240, 240]",data/processed/train/BraTS20_Training_003.pt,,,,,MRIVolume,,
,,"[64, 64, 64]",,,,,,,mri20,,MULTI_4CH,,,,,"[4, 155, 240, 240]",data/processed/train/BraTS20_Training_004.pt,,,,,MRIVolume,,
,,"[64, 64, 64]",,,,,,,mri26,,MULTI_4CH,,,,,"[4, 155, 240, 240]",data/processed/train/BraTS20_Training_005.pt,,,,,MRIVolume,,
,,"[64, 64, 64]",,,,,,,mri32,,MULTI_4CH,,,,,"[4, 155, 240, 240]",data/processed/train/BraTS20_Training_006.pt,,,,,MRIVolume,,
,,"[64, 64, 64]",,,,,,,mri38,,MULTI_4CH,,,,,"[4, 155, 240, 240]",data/processed/train/BraTS20_Training_007.pt,,,,,MRIVolume,,
,,"[64, 64, 64]",,,,,,,mri44,,MULTI_4CH,,,,,"[4, 155, 240, 240]",data/processed/train/BraTS20_Training_008.pt,,,,,MRIVolume,,
,,"[64, 64, 64]",,,,,,,mri50,,MULTI_4CH,,,,,"[4, 155, 240, 240]",data/processed/train/BraTS20_Training_009.pt,,,,,MRIVolume,,
,,"[64, 64, 64]",,,,,,,mri56,,MULTI_4CH,,,,,"[4, 155, 240, 240]",data/processed/train/BraTS20_Training_010.pt,,,,,MRIVolume,,
,,"[64, 64, 64]",,,,,,,mri62,,MULTI_4CH,,,,,"[4, 155, 240, 240]",data/processed/train/BraTS20_Training_011.pt,,,,,MRIVolume,,
,,"[64, 64, 64]",,,,,,,mri68,,MULTI_4CH,,,,,"[4, 155, 240, 240]",data/processed/train/BraTS20_Training_012.pt,,,,,MRIVolume,,
,,"[64, 64, 64]",,,,,,,mri74,,MULTI_4CH,,,,,"[4, 155, 240, 240]",data/processed/train/BraTS20_Training_013.pt,,,,,MRIVolume,,
,,"[64, 64, 64]",,,,,,,mri80,,MULTI_4CH,,,,,"[4, 155, 240, 240]",data/processed/train/BraTS20_Training_014.pt,,,,,MRIVolume,,
,,"[64, 64, 64]",,,,,,,mri86,,MULTI_4CH,,,,,"[4, 155, 240, 240]",data/processed/train/BraTS20_Training_015.pt,,,,,MRIVolume,,
,,"[64, 64, 64]",,,,,,,mri92,,MULTI_4CH,,,,,"[4, 155, 240, 240]",data/processed/train/BraTS20_Training_016.pt,,,,,MRIVolume,,
,,"[64, 64, 64]",,,,,,,mri98,,MULTI_4CH,,,,,"[4, 155, 240, 240]",data/processed/train/BraTS20_Training_017.pt,,,,,MRIVolume,,
